Collection name='THashList', class='THashList', size=4
 TKey Name = Event_1, Title = object title, Cycle = 1
 TKey Name = Event_2, Title = object title, Cycle = 1
 TKey Name = Event_3, Title = object title, Cycle = 1
 TKey Name = Event_4, Title = object title, Cycle = 1
Collection: Event_1
Number of hits: 91
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 1.86672e-05  position[mm]: (127.579,85.603,-696.538)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.0075476  position[mm]: (127.768,86.1836,-696.911)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.00128896  position[mm]: (127.676,86.3075,-696.793)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 6.35331e-05  position[mm]: (127.632,86.3385,-696.701)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.00849835  position[mm]: (127.44,86.3729,-696.729)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.00435505  position[mm]: (127.472,86.3547,-696.716)
  trackID: 100  chamberNb: 1  energy deposit[MeV]: 0.0060859  position[mm]: (127.645,86.3702,-696.755)
  trackID: 99  chamberNb: 1  energy deposit[MeV]: 0.00138224  position[mm]: (127.673,86.2993,-696.791)
  trackID: 98  chamberNb: 1  energy deposit[MeV]: 0.00225547  position[mm]: (127.584,85.5939,-696.55)
  trackID: 97  chamberNb: 1  energy deposit[MeV]: 0.00157031  position[mm]: (127.615,85.4677,-696.5)
  trackID: 96  chamberNb: 1  energy deposit[MeV]: 0.00243334  position[mm]: (128.158,84.6459,-696.872)
  trackID: 96  chamberNb: 1  energy deposit[MeV]: 0.00569607  position[mm]: (128.052,84.4662,-696.932)
